code3,country,region,year,visa_free_count
VEN,Venezuela,AMERICAS,2020,129.0
VEN,Venezuela,AMERICAS,2021,129.0
VEN,Venezuela,AMERICAS,2022,129.0
VNM,Vietnam,ASIA,2020,54.0
VNM,Vietnam,ASIA,2021,53.0
VNM,Vietnam,ASIA,2022,54.0
VUT,Vanuatu,OCEANIA,2020,130.0
VUT,Vanuatu,OCEANIA,2021,135.0
VUT,Vanuatu,OCEANIA,2022,135.0
WSM,Samoa,OCEANIA,2020,131.0
WSM,Samoa,OCEANIA,2021,131.0
WSM,Samoa,OCEANIA,2022,131.0
YEM,Yemen,MIDDLE EAST,2020,33.0
YEM,Yemen,MIDDLE EAST,2021,33.0
YEM,Yemen,MIDDLE EAST,2022,33.0
ZAF,South Africa,AFRICA,2020,101.0
ZAF,South Africa,AFRICA,2021,103.0
ZAF,South Africa,AFRICA,2022,104.0
ZMB,Zambia,AFRICA,2020,71.0
